date,customer_id,campaign_id,campaign_name,ad_group_id,ad_group_name,ad_id,ad_name,network,device,channel,currency,impressions,clicks,spend,conversions,conversion_value,new_customers,repeat_orders,conversion_action
2020-01-26,123-456-7890,gcmp_2025_201,YouTube - Awareness,ggrp_001,Brand Exact,gad_002,RSAs v2,YOUTUBE,MOBILE,Google Ads - YouTube,USD,104033,1092,2932.64,71,4003.65,31,1,purchase
2020-02-23,123-456-7890,gcmp_2025_201,YouTube - Awareness,ggrp_003,YT In-Stream Skippable,gad_003,YT Video v3,SEARCH,MOBILE,Google Ads - Search,USD,57543,2309,4595.53,86,4357.45,58,17,purchase
2020-04-10,123-456-7890,gcmp_2025_201,YouTube - Awareness,ggrp_003,YT In-Stream Skippable,gad_003,YT Video v3,SEARCH,MOBILE,Google Ads - Search,USD,31477,356,1324.95,50,6028.32,29,6,purchase
2020-05-15,123-456-7890,gcmp_2025_102,Search - NonBrand - US,ggrp_003,YT In-Stream Skippable,gad_001,RSAs v1,SEARCH,MOBILE,Google Ads - Search,USD,72767,3230,16483.66,428,67361.77,230,100,purchase
2020-06-16,123-456-7890,gcmp_2025_101,Search - Brand - US,ggrp_002,NonBrand Broad,gad_001,RSAs v1,SEARCH,DESKTOP,Google Ads - Search,USD,3843,137,563.63,10,1422.06,3,6,purchase
2020-06-21,123-456-7890,gcmp_2025_102,Search - NonBrand - US,ggrp_002,NonBrand Broad,gad_002,RSAs v2,SEARCH,MOBILE,Google Ads - Search,USD,79752,2985,10266.4,197,32542.51,71,31,purchase
2020-06-24,123-456-7890,gcmp_2025_201,YouTube - Awareness,ggrp_002,NonBrand Broad,gad_001,RSAs v1,YOUTUBE,DESKTOP,Google Ads - YouTube,USD,85791,1535,2677.72,63,6147.27,20,17,purchase
2020-07-03,123-456-7890,gcmp_2025_101,Search - Brand - US,ggrp_002,NonBrand Broad,gad_003,YT Video v3,YOUTUBE,DESKTOP,Google Ads - YouTube,USD,57800,943,1235.63,95,15269.44,61,25,purchase
2020-07-25,123-456-7890,gcmp_2025_201,YouTube - Awareness,ggrp_002,NonBrand Broad,gad_002,RSAs v2,SEARCH,DESKTOP,Google Ads - Search,USD,39265,886,1781.77,41,6680.99,22,4,purchase
2020-08-16,123-456-7890,gcmp_2025_101,Search - Brand - US,ggrp_001,Brand Exact,gad_003,YT Video v3,YOUTUBE,MOBILE,Google Ads - YouTube,USD,20758,210,503.38,21,3206.83,12,0,purchase
2020-08-20,123-456-7890,gcmp_2025_101,Search - Brand - US,ggrp_003,YT In-Stream Skippable,gad_002,RSAs v2,YOUTUBE,DESKTOP,Google Ads - YouTube,USD,1302,12,18.68,1,91.65,0,0,purchase
2020-08-31,123-456-7890,gcmp_2025_102,Search - NonBrand - US,ggrp_003,YT In-Stream Skippable,gad_001,RSAs v1,YOUTUBE,MOBILE,Google Ads - YouTube,USD,104691,1001,2894.22,137,9235.27,94,6,purchase
2020-09-03,123-456-7890,gcmp_2025_201,YouTube - Awareness,ggrp_003,YT In-Stream Skippable,gad_002,RSAs v2,YOUTUBE,MOBILE,Google Ads - YouTube,USD,22357,275,587.76,28,1999.14,17,10,purchase
2020-09-19,123-456-7890,gcmp_2025_102,Search - NonBrand - US,ggrp_003,YT In-Stream Skippable,gad_003,YT Video v3,YOUTUBE,MOBILE,Google Ads - YouTube,USD,21150,333,770.14,11,1829.93,4,5,purchase
2020-10-13,123-456-7890,gcmp_2025_102,Search - NonBrand - US,ggrp_002,NonBrand Broad,gad_002,RSAs v2,SEARCH,DESKTOP,Google Ads - Search,USD,9935,383,1752.36,45,6983.58,16,18,purchase
2020-10-22,123-456-7890,gcmp_2025_101,Search - Brand - US,ggrp_002,NonBrand Broad,gad_003,YT Video v3,YOUTUBE,MOBILE,Google Ads - YouTube,USD,49354,460,1302.89,67,5343.18,25,36,purchase
2020-12-13,123-456-7890,gcmp_2025_102,Search - NonBrand - US,ggrp_002,NonBrand Broad,gad_001,RSAs v1,YOUTUBE,DESKTOP,Google Ads - YouTube,USD,84460,990,844.51,94,15118.9,39,44,purchase
2020-12-17,123-456-7890,gcmp_2025_102,Search - NonBrand - US,ggrp_003,YT In-Stream Skippable,gad_002,RSAs v2,SEARCH,DESKTOP,Google Ads - Search,USD,28516,403,1372.63,30,4568.86,15,2,purchase
2021-01-04,123-456-7890,gcmp_2025_201,YouTube - Awareness,ggrp_001,Brand Exact,gad_002,RSAs v2,SEARCH,MOBILE,Google Ads - Search,USD,59994,1009,585.22,66,8090.84,31,31,purchase
2021-02-27,123-456-7890,gcmp_2025_102,Search - NonBrand - US,ggrp_003,YT In-Stream Skippable,gad_003,YT Video v3,SEARCH,MOBILE,Google Ads - Search,USD,76203,2660,6163.0,376,15436.61,156,118,purchase
2021-03-03,123-456-7890,gcmp_2025_102,Search - NonBrand - US,ggrp_001,Brand Exact,gad_002,RSAs v2,SEARCH,MOBILE,Google Ads - Search,USD,45945,2641,11861.94,263,25919.71,143,96,purchase
